topo,density,level,length,name,a,b,c,d,e,f,g,h,i,k,l,m,heuristic1,heuristic2,heuristic3
nsf,urban,normal,2,./data_1_9/nsf_urban_normal_s2.json,0.450508744,654,344170.8786,0.472531345,523,407342.4077,0.452346001,563,372212.514,0.448704792,626,350010.9078,4.660558761,0.407818278,-0.402035377
nsf,urban,normal,3,./data_1_9/nsf_urban_normal_s3.json,0.479961136,431,334592.9684,0.499919553,518,332357.7474,0.489005221,442,340224.8989,0.502563153,510,336625.851,3.992325741,1.884336943,4.497348615
conus,centers,easy,1,./data_1_9/conus_centers_easy_s1.json,0.391209301,505,259113.18,0.44003171,665,271422.4758,0.398526149,654,235138.4328,0.399673879,653,236411.1146,11.09520243,1.87031545,2.117871206
conus,centers,easy,2,./data_1_9/conus_centers_easy_s2.json,0.404720958,676,266151.1209,0.437695699,613,315891.3345,0.401038061,792,234705.654,0.403885676,811,233193.958,7.533713737,-0.909984256,-0.206811494
conus,centers,easy,3,./data_1_9/conus_centers_easy_s3.json,0.417392168,595,294574.3135,0.457586721,521,353458.3404,0.418393184,557,304444.5297,0.41750078,569,300729.9614,8.784029596,0.239826254,0.026014802
conus,centers,hard,1,./data_1_9/conus_centers_hard_s1.json,0.478225053,1755,532636.2195,0.480442286,1791,498517.5444,0.47950434,1775,513963.1517,0.482177246,1811,482547.8815,0.461498304,0.267507315,0.819655642
conus,centers,hard,2,./data_1_9/conus_centers_hard_s2.json,0.457569615,1701,414213.4065,0.491768845,1896,378865.802,0.490432805,1885,383551.0594,0.504755742,1961,374284.6744,6.954330342,7.18211807,9.348309107
conus,centers,hard,3,./data_1_9/conus_centers_hard_s3.json,0.448280063,1639,546757.2125,0.493256099,1847,546718.3839,0.491489649,1845,538945.0589,0.509487651,1941,522842.4985,9.118191562,9.638971163,12.01355673
conus,centers,normal,1,./data_1_9/conus_centers_normal_s1.json,0.445407879,961,484959.4901,0.464341543,865,568860.7147,0.447361289,934,501521.4814,0.452644142,984,489422.1169,4.07752963,0.438566557,1.598664896
conus,centers,normal,2,./data_1_9/conus_centers_normal_s2.json,0.423137326,784,542611.6503,0.46454512,897,578281.745,0.429504361,988,458436.1802,0.439384048,1068,441465.4111,8.913621566,1.504720716,3.697613073
conus,centers,normal,3,./data_1_9/conus_centers_normal_s3.json,0.434543223,803,576894.7691,0.477506001,791,679474.7736,0.456911941,861,598286.8536,0.470799157,914,603100.272,8.997327345,5.147639364,7.70093435
conus,rural,easy,1,./data_1_9/conus_rural_easy_s1.json,0.373830786,617,852185.8624,0.439648997,696,1025798.049,0.377757611,682,814584.0494,0.381174214,724,793446.3622,14.9706269,1.050428468,1.92652801
conus,rural,easy,2,./data_1_9/conus_rural_easy_s2.json,0.377975891,702,1006615.925,0.419382346,619,1272949.165,0.374729772,698,995990.7976,0.377760013,723,985154.2621,9.873199336,-0.858816416,-0.057146864
conus,rural,easy,3,./data_1_9/conus_rural_easy_s3.json,0.379287448,525,1032208.228,0.423342368,485,1237609.831,0.380820218,517,1044950.476,0.385424375,561,1025618.149,10.40645192,0.404118303,1.592251917
conus,rural,hard,1,./data_1_9/conus_rural_hard_s1.json,0.480846007,1805,1334185.857,0.482945512,1815,1331367.973,0.482920297,1818,1318674.327,0.484382369,1840,1255376.809,0.434729167,0.43138343,0.730076532
conus,rural,hard,2,./data_1_9/conus_rural_hard_s2.json,0.454451369,1730,1682599.957,0.485307654,1924,1461572.898,0.486199081,1933,1440313.779,0.497595077,1993,1409712.081,6.358087441,6.985942648,8.670445106
conus,rural,hard,3,./data_1_9/conus_rural_hard_s3.json,0.434477045,1526,1772942.859,0.487788885,1830,1491988.581,0.486592735,1818,1520405.637,0.502398802,1894,1497441.375,10.92928552,11.99503877,13.51949024
conus,rural,normal,1,./data_1_9/conus_rural_normal_s1.json,0.413468369,917,1485317.98,0.447127917,940,1687895.204,0.417444925,950,1461373.139,0.418752028,984,1416897.519,7.527945968,0.961755795,1.261763203
conus,rural,normal,2,./data_1_9/conus_rural_normal_s2.json,0.418796394,741,1952280.036,0.446373043,695,2248555.781,0.431412299,850,1857725.989,0.436030145,877,1845936.707,6.177937811,3.012419682,3.952421913
conus,rural,normal,3,./data_1_9/conus_rural_normal_s3.json,0.412533342,837,1757614.681,0.443379035,681,2272740.735,0.413503111,779,1867014.905,0.423947448,843,1836365.159,6.956957945,0.235076514,2.69233983
conus,uniform,easy,1,./data_1_9/conus_uniform_easy_s1.json,0.377679915,803,689598.7419,0.445769928,690,992752.8897,0.388590817,876,674970.1584,0.393421938,956,635416.419,15.27469861,2.888928314,4.001307878
conus,uniform,easy,2,./data_1_9/conus_uniform_easy_s2.json,0.362620256,471,973533.078,0.425683942,624,1083920.694,0.368806493,525,952043.8216,0.373315189,571,930875.5884,14.81467346,1.705982194,2.864853431
conus,uniform,easy,3,./data_1_9/conus_uniform_easy_s3.json,0.359623684,121,1313048.909,0.425138743,554,1193079.042,0.374240459,608,945076.805,0.375816102,588,968773.1371,15.41027725,4.064463952,4.308601445
conus,uniform,hard,1,./data_1_9/conus_uniform_hard_s1.json,0.479364295,1776,1384157.667,0.477942198,1764,1407617.144,0.479522605,1777,1382921.526,0.479838717,1790,1335393.05,-0.297545813,0.033024988,0.098871138
conus,uniform,hard,2,./data_1_9/conus_uniform_hard_s2.json,0.466211096,1745,1398456.803,0.487929527,1851,1361380.218,0.489533721,1852,1386895.718,0.499586568,1912,1324492.738,4.451140953,5.002588999,6.680618363
conus,uniform,hard,3,./data_1_9/conus_uniform_hard_s3.json,0.466477328,1708,1379307.235,0.486621626,1797,1378980.838,0.484961472,1781,1413056.071,0.500909855,1860,1379248.975,4.139622434,3.962495686,6.873996719
